Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614501,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2019,,,,,,,76.1,76.07952,,,,2020-12-04T16:59:48.07+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614505,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,MLE,2000,,,,,,,70.3,70.3352,,,,2020-12-04T16:59:48.193+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614509,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,MLE,2010,,,,,,,72.1,72.14228,,,,2020-12-04T16:59:48.29+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614513,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,MLE,2015,,,,,,,72.9,72.91711,,,,2020-12-04T16:59:48.43+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614517,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,MLE,2019,,,,,,,73.5,73.5108,,,,2020-12-04T16:59:48.523+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614521,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,FMLE,2000,,,,,,,77.8,77.82746,,,,2020-12-04T16:59:48.603+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614525,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,FMLE,2010,,,,,,,78.6,78.63397,,,,2020-12-04T16:59:48.713+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614529,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,FMLE,2015,,,,,,,79.3,79.29972,,,,2020-12-04T16:59:48.777+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614533,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,FMLE,2019,,,,,,,79.5,79.50281,,,,2020-12-04T16:59:48.87+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614537,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,BTSX,2000,,,,,,,74.1,74.08556,,,,2020-12-04T16:59:48.963+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614541,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,BTSX,2010,,,,,,,75.4,75.43737,,,,2020-12-04T16:59:49.06+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614545,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,BTSX,2015,,,,,,,76.2,76.16682,,,,2020-12-04T16:59:49.183+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614549,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,BTSX,2019,,,,,,,76.6,76.57514,,,,2020-12-04T16:59:49.293+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614553,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,MLE,2000,,,,,,,68.6,68.58817,,,,2020-12-04T16:59:49.39+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614557,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,MLE,2010,,,,,,,69.4,69.38869,,,,2020-12-04T16:59:49.513+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614561,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,MLE,2015,,,,,,,70.9,70.88089,,,,2020-12-04T16:59:49.61+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614565,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,MLE,2019,,,,,,,72.5,72.48704,,,,2020-12-04T16:59:49.69+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614569,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,FMLE,2000,,,,,,,74.9,74.90656,,,,2020-12-04T16:59:49.783+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614573,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,FMLE,2010,,,,,,,76.6,76.61044,,,,2020-12-04T16:59:49.893+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614577,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,FMLE,2015,,,,,,,77.8,77.83168,,,,2020-12-04T16:59:50.003+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614581,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,FMLE,2019,,,,,,,79.2,79.16326,,,,2020-12-04T16:59:50.1+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614585,WHOSIS_000001,COUNTRY,ARM,YEAR,EUR,Europe,SEX,BTSX,2000,,,,,,,71.9,71.88136,,,,2020-12-04T16:59:50.193+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
